,0
2023-07-01,36.024729762140154
2023-08-01,35.39162583002754
2023-09-01,36.3928222423731
2023-10-01,36.41473338673735
2023-11-01,38.468160446388794
2023-12-01,28.967678547683626
2024-01-01,34.62145267094997
2024-02-01,37.96430674254783
2024-03-01,33.52586213454148
2024-04-01,33.71969392042238
2024-05-01,37.774779183774086
2024-06-01,34.55700086281748
2024-07-01,38.64928551077439
2024-08-01,35.16292689858272
2024-09-01,38.898167415403975
2024-10-01,29.819015105796527
2024-11-01,33.55613636582284
2024-12-01,40.33716850232533
2025-01-01,34.07224812373354
2025-02-01,34.11910411780436
2025-03-01,38.817892622986406
2025-04-01,36.63634229663448
2025-05-01,38.12005122490384
2025-06-01,36.3182591744074
2025-07-01,41.06619897002366
2025-08-01,28.569346617106564
2025-09-01,32.646091385314236
2025-10-01,41.651923684041115
2025-11-01,35.15291744224627
2025-12-01,34.94380435428779
2026-01-01,40.11985892131092
2026-02-01,36.43298918928073
2026-03-01,40.524064102188774
2026-04-01,35.55374093505275
2026-05-01,39.98444548406526
2026-06-01,29.26907174273287
