,yearmonth,count,class
245,1980-04-01,10,high
246,1980-05-01,8,high
247,1980-05-01,8,high
248,1980-06-01,10,high
249,1980-06-01,10,high
250,1980-07-01,7,high
251,1980-07-01,7,high
252,1980-08-01,12,high
253,1980-08-01,12,high
254,1980-09-01,9,high
255,1980-09-01,9,high
256,1980-10-01,8,high
257,1980-10-01,8,high
258,1980-11-01,17,high
259,1980-11-01,17,high
260,1980-12-01,9,high
261,1980-12-01,9,high
262,1981-01-01,7,high
263,1981-01-01,7,high
264,1981-02-01,9,high
265,1981-02-01,9,high
266,1981-03-01,14,high
267,1981-03-01,14,high
268,1981-04-01,10,high
269,1981-04-01,10,high
270,1981-05-01,12,high
271,1981-05-01,12,high
272,1981-06-01,8,high
273,1981-06-01,8,high
274,1981-07-01,5,high
275,1981-07-01,5,high
276,1981-08-01,11,high
277,1981-08-01,11,high
278,1981-09-01,8,high
279,1981-09-01,8,high
280,1981-10-01,14,high
281,1981-10-01,14,high
282,1981-11-01,5,high
283,1981-11-01,5,high
284,1981-12-01,10,high
285,1981-12-01,10,high
286,1982-01-01,12,high
287,1982-01-01,12,high
288,1982-02-01,8,high
289,1982-02-01,8,high
290,1982-03-01,10,high
291,1982-03-01,10,high
292,1982-04-01,3,high
293,1982-04-01,3,high
294,1982-05-01,15,high
295,1982-05-01,15,high
296,1982-06-01,14,high
297,1982-06-01,14,high
298,1982-07-01,15,high
299,1982-07-01,15,high
300,1982-08-01,17,high
301,1982-08-01,17,high
302,1982-09-01,14,high
303,1982-09-01,14,high
304,1982-10-01,11,high
305,1982-10-01,11,high
306,1982-11-01,5,high
307,1982-11-01,5,high
308,1982-12-01,15,high
309,1982-12-01,15,high
310,1983-01-01,11,high
311,1983-01-01,11,high
312,1983-02-01,10,high
313,1983-02-01,10,high
314,1983-03-01,8,high
315,1983-03-01,8,high
316,1983-04-01,9,high
317,1983-04-01,9,high
318,1983-05-01,13,high
319,1983-05-01,13,high
320,1983-06-01,13,high
321,1983-06-01,13,high
322,1983-07-01,8,high
323,1983-07-01,8,high
324,1983-08-01,9,high
325,1983-08-01,9,high
326,1983-09-01,9,high
327,1983-09-01,9,high
328,1983-10-01,13,high
329,1983-10-01,13,high
330,1983-11-01,9,high
331,1983-11-01,9,high
332,1983-12-01,12,high
333,1983-12-01,12,high
334,1984-01-01,7,high
335,1984-01-01,7,high
336,1984-02-01,12,high
337,1984-02-01,12,high
338,1984-03-01,13,high
